doy,year,tmax,tmin
21,2017,2.919128656,-6.217488766
21,2018,6.443132877,-2.686439753
21,2019,6.416430473,-5.257522583
21,2020,7.798344612,-4.616425514
22,2001,4.842306137,-2.592564583
22,2002,2.103306293,-2.914164543
22,2003,0.539925516,-4.138014317
22,2004,-4.678603172,-13.21980572
22,2005,4.840996265,-7.130741596
22,2006,3.980573654,-5.613063812
22,2007,7.830451488,-1.72821939
22,2008,2.844619513,0.833180964
22,2009,10.93567753,-2.463598251
22,2010,1.557686567,-5.485997677
22,2011,3.524637461,-10.35332108
22,2012,1.925704956,-6.408894062
22,2013,5.815552711,2.564660311
22,2014,3.399383068,-7.916048527
22,2015,5.993888855,1.706854343
22,2016,-0.933818042,-9.47552681
22,2017,0.72772187,-6.045505047
22,2018,9.881964684,-0.022273866
22,2019,8.910663605,-2.434515238
22,2020,4.742907047,0.514575243
23,2001,5.126283646,-5.40352726
23,2002,2.535827637,-3.370888472
23,2003,2.471305132,-5.113029957
23,2004,-0.402301401,-12.27727413
23,2005,8.28857708,-0.339542925
23,2006,2.055332184,-8.279858589
23,2007,7.960354328,-3.124524832
23,2008,2.181152582,-3.440278769
23,2009,2.763390064,-8.696125984
23,2010,2.049551487,-4.954487801
23,2011,2.790566921,-6.576604366
23,2012,-2.238349915,-8.688602448
23,2013,4.330000401,1.466694593
23,2014,6.794119835,-7.74076128
23,2015,7.224616528,-1.365524054
23,2016,-4.379652023,-10.33767128
23,2017,-0.88792336,-8.035603523
23,2018,0.074528672,-8.890194893
23,2019,8.917638779,-1.20642817
23,2020,11.91825199,2.941109419
24,2001,7.332826138,-4.396230221
24,2002,4.165205479,-6.290631771
24,2003,3.682179928,-6.797730446
24,2004,-0.480293393,-11.9861002
24,2005,6.084354877,-0.99566251
24,2006,3.951298952,-8.259980202
24,2007,7.958549976,-2.244034529
24,2008,-0.701974928,-6.646855831
24,2009,-1.060043216,-11.28234863
24,2010,5.265347481,-5.105399609
24,2011,-1.410162687,-6.893916607
24,2012,-0.820728362,-9.489144325
24,2013,3.612957478,-2.26846385
24,2014,12.49650192,-2.508729219
24,2015,8.758090019,-2.028107166
24,2016,-8.312179565,-13.29354286
24,2017,1.793784142,-9.076114655
24,2018,-6.231043339,-12.82606411
24,2019,7.231476784,-4.850362778
24,2020,10.44540691,0.124208003
25,2001,9.095661163,0.98301369
25,2002,5.478658199,-7.193160534
25,2003,7.183279991,-7.648154259
25,2004,-1.355160117,-7.311923981
25,2005,2.46587038,-1.828416705
25,2006,5.909466743,-5.748799801
25,2007,7.390443802,-3.772091389
25,2008,0.871900678,-6.990817547
25,2009,3.390680552,-6.260221481
25,2010,3.737830877,-4.443271637
25,2011,-0.649819553,-10.0552597
25,2012,-1.434865832,-10.12824059
25,2013,-0.660452843,-5.149324417
25,2014,12.8751297,2.949356079
25,2015,10.80362225,-1.078891754
25,2016,-2.208105326,-13.52366638
25,2017,2.125923157,-8.466837883
25,2018,-4.610704899,-13.42432117
25,2019,4.628002167,-3.856804848
25,2020,8.932014465,0.545265317
26,2001,8.568219185,1.519913435
26,2002,3.353911638,-0.865840912
26,2003,6.362047195,2.118418455
26,2004,1.939040899,-10.24560547
26,2005,5.306862831,-0.471908033
26,2006,6.392167568,-3.099220037
26,2007,3.366599321,-2.3973248
26,2008,3.688410759,-5.806690216
26,2009,2.886092663,-3.80285573
26,2010,3.810231447,-8.408460617
26,2011,-1.053289413,-11.38588428
26,2012,3.796290159,-10.67390633
26,2013,-0.391664892,-8.125306129
26,2014,5.305971146,-3.542495489
26,2015,9.323356628,2.937910557
26,2016,3.194241524,-5.364012718
26,2017,6.472076416,-8.175484657
26,2018,-4.75728941,-13.37835598
26,2019,3.023996115,-6.162114143
26,2020,11.84034729,0.998894095
27,2001,3.079408646,0.165133715
27,2002,3.352867365,-0.287066996
27,2003,3.039460659,-3.49292016
27,2004,1.379312038,-8.387012482
27,2005,7.079479694,-2.123573542
27,2006,7.191402435,-2.642858267
27,2007,4.297754765,-0.150810927
27,2008,4.7856884,-8.189647675
27,2009,5.984924793,-7.354964733
27,2010,8.321920395,-5.256874561
27,2011,-0.940661609,-10.91025352
27,2012,6.648965359,-1.562134981
27,2013,-0.023203615,-7.290230274
27,2014,10.27651405,-6.207034588
27,2015,3.702171803,-4.179642677
27,2016,5.13137722,-3.430081606
27,2017,7.086239815,-2.96510601
27,2018,-1.518194318,-14.97056293
27,2019,5.837115288,-7.623365879
27,2020,9.481388092,3.823768139
28,2001,2.969099045,-2.459264278
28,2002,3.424004078,-1.376646161
28,2003,-0.527609169,-6.761130333
28,2004,5.851089954,-7.98934269
28,2005,11.11831188,-4.588443279
28,2006,8.955391884,-5.367094994
28,2007,4.567670822,-1.648033142
28,2008,1.028241396,-3.597309589
28,2009,10.62259007,-6.449939251
28,2010,6.345432281,-0.942701697
28,2011,-0.552400649,-7.786096096
28,2012,6.453561783,-2.34288311
28,2013,4.899407387,-8.484621048
28,2014,9.405187607,-2.773295641
28,2015,1.967214465,-5.655607224
28,2016,2.724992752,-3.910665512
28,2017,8.958382607,-5.705379486
28,2018,1.813162923,-5.660221577
28,2019,7.402789593,-1.45497036
28,2020,11.05260468,3.067032337
29,2001,4.946090221,-5.11584568
29,2002,3.594865561,-4.942940235
29,2003,-4.914330959,-10.9341011
29,2004,8.196474075,-3.69857955
29,2005,3.485835791,-3.987198591
29,2006,15.56103516,-0.687760234
29,2007,6.74983263,-4.452062607
29,2008,5.112889767,-2.459572077
29,2009,7.02357626,-2.2752285
29,2010,5.414155006,-4.079159737
29,2011,-1.900698662,-11.16645527
29,2012,4.252342701,-5.6007967
29,2013,9.56314373,-2.117991924
29,2014,12.57305622,-6.072152615
29,2015,3.354826689,-4.06578064
29,2016,4.611107826,1.237634063
29,2017,7.829174995,1.425180554
29,2018,-1.460446835,-7.497620583
29,2019,6.904609203,-6.08062315
29,2020,10.18184185,4.635296822
30,2001,6.084092617,-2.906622648
30,2002,5.357810974,-0.924484015
30,2003,-0.400880069,-13.27412319
30,2004,8.459085464,-4.493406296
30,2005,-0.48703745,-6.115913391
30,2006,12.42416096,5.649788857
30,2007,5.808476448,-2.23652482
30,2008,2.180362701,-4.749193192
30,2009,13.48380089,2.618338346
30,2010,8.542919159,-3.358723879
30,2011,-2.813909054,-10.70206165
30,2012,2.316385031,-5.771071911
30,2013,13.15893745,-1.527187705
30,2014,9.699845314,2.925454378
30,2015,3.146160364,-2.758111715
30,2016,5.854355812,-0.298864007
